description,issue_type
Can I apply for scholarships after my application is submitted?,Scholarship
What happens if I miss an exam due to an emergency?,Examination
Where can I enroll in a faculty workshop for public speaking skills?,Enrollment
How do I apply for faculty enrollment in a leadership seminar?,Enrollment
Bagaimana cara untuk mendaftar acara universiti?,Other
How do I register for faculty development programs on academic leadership?,Enrollment
Can I use a scholarship for living expenses?,Scholarship
Bolehkah anda tandatangan surat permohonan ini?,Signature
Adakah terdapat biasiswa untuk pelajar dengan pengalaman kepimpinan?,Scholarship
I need a copy of my academic transcript,Transcript
I have a random query I need help with.,Other
Are there scholarships for students studying architecture?,Scholarship
Bagaimana saya boleh mendapatkan salinan transkrip saya?,Transcript
Bolehkah saya dapatkan tandatangan borang permohonan pensijilan?,Signature
Di manakah saya boleh mendapatkan lebih banyak maklumat mengenai kelab pelajar?,Other
Apakah cara untuk mendapatkan transkrip rasmi?,Transcript
Bolehkah saya mendapatkan transkrip walaupun saya mempunyai tunggakan yuran?,Transcript
Can you provide more details about student financial aid?,Other
Bagaimana saya memohon biasiswa berdasarkan pencapaian?,Scholarship
Can I speak to the exam invigilator during the exam?,Examination
Apakah peraturan untuk peperiksaan jarak jauh?,Examination
Please sign my official request for internship approval.,Signature
What scholarships are available for international students?,Scholarship
Can I get your signature on my official university transcript request?,Signature
Can I get a parking permit as a student?,Other
Apakah prosedur untuk memohon peperiksaan pengganti?,Examination
Can I register for a teaching assistance role this semester?,Enrollment
Can I get a transcript with my final grades for a particular semester?,Transcript
What are the requirements for enrolling in a faculty research grant program?,Enrollment
Apa syarat untuk memohon biasiswa untuk pelajar baru?,Scholarship
Bolehkah saya mendapatkan transkrip walaupun saya menarik diri dari universiti?,Transcript
Could you guide me through the registration process?,Enrollment
Saya ingin memohon salinan rasmi transkrip saya.,Transcript
Adakah terdapat biasiswa untuk pelajar yang melanjutkan pelajaran ke peringkat sarjana?,Scholarship
What’s the policy on plagiarism?,Other
Can I enroll in a faculty-only course offered this semester?,Enrollment
Can you sign my course substitution form?,Signature
Apakah sumber yang ada untuk pelajar antarabangsa?,Other
Can I enroll in a teaching certification program?,Enrollment
Bolehkah anda tandatangan borang permohonan untuk pengesahan transkrip?,Signature
Bolehkah anda tandatangan surat kebenaran ini?,Signature
Can I request an electronic copy of my transcript?,Transcript
Can I request to meet with a faculty member outside of class?,Other
Are there scholarships for students studying social work?,Scholarship
What is the procedure for submitting my exam answer sheet?,Examination
Where can I get more information about student clubs?,Other
Bagaimana cara untuk menempah ruang untuk acara pelajar?,Other
Can you help me get a transcript to apply for an international exchange program?,Transcript
Can I get involved in an entrepreneurship program?,Other
Is there a policy for resitting exams if I’m not satisfied with my results?,Examination
Bolehkah saya membawa sweater atau jaket ke dalam bilik peperiksaan?,Examination
How can I enroll in a faculty-student collaborative research project?,Enrollment
Apakah hukuman jika saya didapati menipu semasa peperiksaan?,Examination
Biasiswa apa yang boleh saya mohon berdasarkan pencapaian akademik?,Scholarship
Sila tandatangan pada dokumen ini.,Signature
Can I apply for scholarships if I am working full-time?,Scholarship
Adakah peperiksaan ini menggunakan sistem soalan aneka pilihan?,Examination
Apa yang perlu saya lakukan jika saya mengesyaki ada penipuan semasa peperiksaan?,Examination
Bolehkah anda hantar transkrip saya dalam format PDF?,Transcript
Bolehkah saya dapatkan tandatangan untuk borang permohonan pengecualian?,Signature
Are there scholarships for students pursuing careers in arts and design?,Scholarship
Bagaimana saya mencari biasiswa untuk program pasca siswazah?,Scholarship
Could you sign this for processing?,Signature
Di manakah saya boleh mendapatkan salinan buku panduan pelajar?,Other
What is the process for retaking an exam?,Examination
Can I get a transcript with my final grades for a particular semester?,Transcript
How can I submit feedback about a course?,Other
Where can I apply for student housing?,Other
Sudi tak tandatangan dokumen pinjaman pelajar saya?,Signature
Are there any events or conferences happening this semester?,Other
Adakah saya boleh memohon perubahan tarikh peperiksaan?,Examination
Do I need to bring any ID to the exam?,Examination
How can I sign up for a faculty conference on teaching innovation?,Enrollment
How do I submit an online exam?,Examination
How do I apply for a merit-based scholarship?,Scholarship
Can you send my transcript directly to my new school?,Transcript
Is there any mentorship program for new students?,Other
Bagaimana saya boleh mengesahkan pendaftaran saya?,Enrollment
Would you sign my study-abroad tuition form?,Signature
Are there any restrictions on the size of the items I can bring to the exam?,Examination
How do I request my transcript if I am an international student?,Transcript
Saya perlukan salinan transkrip saya.,Transcript
How do I access the university’s online portal?,Other
What types of scholarships are available for students who are parents?,Scholarship
Where can I apply for faculty development grants?,Enrollment
Are there scholarships for students pursuing degrees in education?,Scholarship
Are there any specific dress codes for the exam?,Examination
Can I bring a study guide into the exam?,Examination
Can I get a transcript with my academic honors noted?,Transcript
Bolehkah saya menggunakan kalkulator sepanjang peperiksaan?,Examination
Is there a scholarship for students studying in the arts?,Scholarship
Where can I enroll in a faculty workshop for public speaking skills?,Enrollment
Are there scholarships available for graduate students pursuing a research degree?,Scholarship
Adakah saya boleh memohon perubahan tarikh peperiksaan?,Examination
Bagaimana saya menghantar peperiksaan dalam talian?,Examination
Can I get help with my writing skills?,Other
Adakah saya perlu memohon semula biasiswa yang sama setiap tahun?,Scholarship
How do I get a scholarship for school?,Scholarship
How do I register for faculty collaborative workshops?,Enrollment
Bolehkah saya mendapatkan transkrip walaupun saya menarik diri dari universiti?,Transcript
Bolehkah saya mendapatkan transkrip dihantar kepada agensi pihak ketiga?,Transcript
Adakah peperiksaan ini menggunakan sistem soalan aneka pilihan?,Examination
How do I submit a suggestion for improving the university?,Other
Tolong tandatangan borang pengecualian kursus saya.,Signature
Apakah tarikh akhir untuk pendaftaran?,Enrollment
Can you explain the process for applying to graduate programs?,Other
How can I obtain a transcript if I have graduated several years ago?,Transcript
How should I handle exam stress?,Examination
Bolehkah saya menukar kelas selepas saya daftar?,Enrollment
I have questions about the university’s health and safety policies.,Other
Would you sign my research grant application?,Signature
Adakah terdapat biasiswa untuk pelajar dengan aktiviti kokurikulum yang luar biasa?,Scholarship
Can I get my transcript in person from the registrar’s office?,Transcript
Are there scholarships for students studying environmental studies?,Scholarship
How do I apply for a merit-based scholarship?,Scholarship
Can you sign my annual progress report?,Signature
Are there scholarships for students studying computer science?,Scholarship
Can I request a copy of my student ID?,Other
What are the options for on-campus housing?,Other
What’s the procedure for adding a course after the semester begins?,Other
Would you be willing to sign my student loan documents?,Signature
Apakah yang perlu saya lakukan jika saya terlambat ke peperiksaan?,Examination
How do I change the delivery method for my transcript?,Transcript
Bolehkah anda terangkan proses untuk memohon kemudahan akademik?,Other
How can I become a student representative?,Other
Adakah terdapat surat khabar pelajar yang saya boleh sumbang?,Other
What is the process for requesting extra time for an exam?,Examination
Can I bring my notes into the exam?,Examination
Can you sign my academic probation appeal form?,Signature
How can I get my transcript if I don’t remember my student ID number?,Transcript
Are there any volunteer opportunities related to healthcare?,Other
Please send me a transcript of my grades.,Transcript
Bolehkah saya memohon transkrip terus dari jabatan?,Transcript
Please sign my internship evaluation form.,Signature
How do I apply for enrollment in the new faculty orientation program?,Enrollment
Are there any scholarships for students with leadership experience?,Scholarship
Adakah terdapat biasiswa untuk pelajar dalam bidang kemanusiaan?,Scholarship
Can you help me with public speaking skills?,Other
Pukul berapa peperiksaan bermula?,Examination
Is there a peer tutoring program available?,Other
Can I get a hard copy of my transcript?,Transcript
Bolehkah saya dapatkan tandatangan untuk borang peperiksaan akhir saya?,Signature
Is there a limit on how many items I can bring into the exam room?,Examination
Where do I register for faculty workshops on digital learning?,Enrollment
Please sign this contract for me.,Signature
Would you sign my credit hours transfer form?,Signature
Apa yang berlaku jika saya didapati menipu semasa peperiksaan?,Examination
What happens if the exam is rescheduled?,Examination
Are there scholarships for students pursuing degrees in nursing?,Scholarship
How do I join the university’s faculty peer review group?,Enrollment
Would you sign my application for re-admission?,Signature
Bolehkah anda hantar transkrip saya ke majikan saya?,Transcript
Bolehkah saya meminta untuk bertemu dengan ahli fakulti di luar waktu kelas?,Other
Saya perlukan maklumat am mengenai acara universiti.,Other
Adakah terdapat kod pakaian tertentu untuk peperiksaan?,Examination
Bolehkah saya membuat rayuan terhadap peraturan atau prosedur peperiksaan?,Examination
Can I bring a water bottle into the exam room?,Examination
Are there scholarships for students studying in the field of law?,Scholarship
Saya ada soalan am mengenai polisi universiti.,Other
How can I find scholarships for students from my region?,Scholarship
Adakah terdapat biasiswa untuk pelajar dalam bidang seni?,Scholarship
Bagaimana saya memohon biasiswa jika saya pelajar antarabangsa?,Scholarship
Saya memerlukan tandatangan anda untuk proses ini.,Signature
Would you sign this form for me?,Signature
Apakah biasiswa terbaik untuk pelajar antarabangsa?,Scholarship
Can you sign my petition for changing course schedule?,Signature
Bagaimana cara untuk mendapatkan diskaun perkhidmatan makan kampus?,Other
Could you please email me my transcript?,Transcript
Where can I learn about career workshops?,Other
Bagaimana cara saya memohon transkrip untuk penilaian transkrip antarabangsa?,Transcript
Bolehkah saya memohon lebih daripada satu biasiswa?,Scholarship
Bagaimana cara untuk mengakses perkhidmatan kaunseling kerjaya?,Other
How do I apply for a scholarship for a STEM program?,Scholarship
How can I access mental health resources?,Other
Bagaimana cara untuk mendaftar kursus?,Enrollment
Bolehkah saya mendapatkan transkrip dihantar kepada agensi pihak ketiga?,Transcript
Adakah terdapat bengkel akademik yang tersedia?,Other
When will the exam results be released?,Examination
Sudi tak tandatangan borang permohonan penyelidikan saya?,Signature
Adakah saya dibenarkan untuk menggunakan telefon semasa peperiksaan?,Examination
Bolehkah saya membawa nota ke dalam peperiksaan?,Examination
How can I become a teaching assistant?,Other
I lost my transcript,Transcript
What are the eligibility requirements for the scholarship?,Scholarship
Please sign my official request for internship approval.,Signature
How do I sign up for faculty-led skills development sessions?,Enrollment
Bagaimana cara untuk memohon cuti akademik?,Other
Could you kindly assist me with my course registration?,Enrollment
Bagaimana saya boleh menghubungi kesatuan pelajar?,Other
What is the exam grading policy?,Examination
Where can I find more information about scholarships?,Scholarship
Are there scholarships for students studying psychology?,Scholarship
How do I sign up for a faculty writing and publishing program?,Enrollment
Can I apply for a scholarship if I’m studying at a community college?,Scholarship
What are the best scholarships for international students?,Scholarship
Sudi tak tandatangan borang permohonan penyelidikan saya?,Signature
Could you sign my student visa application?,Signature
Apa yang berlaku jika saya tumpahkan sesuatu semasa peperiksaan?,Examination
Adakah terdapat sebarang sekatan mengenai barang yang boleh dibawa ke dalam bilik peperiksaan?,Examination
Could you help me get a copy of my transcript from last semester?,Transcript
Where can I find a list of student scholarships?,Other
Bagaimana saya boleh menghubungi kesatuan pelajar?,Other
Bolehkah anda tandatangan borang permohonan cuti akademik saya?,Signature
Can you endorse my student emergency fund application?,Signature
Bagaimana saya bersedia untuk peperiksaan praktikal?,Examination
What should I do if I am having trouble in a group project?,Other
Can I apply for a scholarship if I have a part-time job?,Scholarship
Can you provide me with my transcript?,Transcript
Are there scholarships available for students with high school honors?,Scholarship
Can you sign my student fee reduction application?,Signature
Can you sign my class registration approval?,Signature
Can I apply for a scholarship if I’m a mature student?,Scholarship
How do I request my transcript if I am an international student?,Transcript
Can I request my transcript for a visa renewal?,Transcript
Bolehkah saya mendapatkan transkrip walaupun saya mempunyai tunggakan yuran?,Transcript
Saya telah hilang transkrip saya,Transcript
Can you send my transcript to my new school?,Transcript
Can I apply for a scholarship after I’ve already enrolled in my course?,Scholarship
Apakah prosedur untuk memohon masa tambahan semasa peperiksaan?,Examination
Bolehkah saya menggunakan kertas peperiksaan saya sendiri jika saya kehabisan ruang?,Examination
Adakah terdapat biasiswa untuk pelajar dalam bidang seni?,Scholarship
Bolehkah anda tandatangan borang pendaftaran insurans kesihatan saya?,Signature
What is the procedure for retaking a failed exam?,Examination
Apa yang perlu saya lakukan jika saya merasa cemas sebelum peperiksaan?,Examination
Can you sign my annual progress report?,Signature
Is there an online platform for enrolling in faculty-led courses?,Enrollment
Can I wear a hat during the exam?,Examination
I would like to request a copy of my grade report.,Transcript
Are there scholarships for students pursuing a business degree?,Scholarship
Is there a deadline for enrolling in faculty mentoring programs?,Enrollment
What scholarships can I apply for based on my academic performance?,Scholarship
Can you provide me with my transcript for my internship application?,Transcript
Can you provide more details about student financial aid?,Other
I need a copy of my academic transcript,Transcript
Can you help me get enrolled in this course?,Enrollment
Di manakah saya boleh mendapatkan maklumat mengenai kelestarian kampus?,Other
Can you send my transcript directly to my new school?,Transcript
Would you sign my official letter for the career office?,Signature
What is the process to enroll in a university faculty research team?,Enrollment
Di manakah saya boleh mendapatkan salinan kod etika universiti?,Other
Bagaimana saya boleh mendapatkan transkrip sebagai pelajar antarabangsa?,Transcript
Please sign my official request for internship approval.,Signature
Bolehkah anda tandatangan surat pengesahan sijil saya?,Signature
Could you please email me my transcript?,Transcript
How do I apply for a scholarship if I am not a citizen of the country?,Scholarship
Can you send me a transcript for my application for residency?,Transcript
Adakah terdapat sebarang peraturan mengenai penggunaan kalkulator?,Examination
Can I get your signature on my official university transcript request?,Signature
I need your signature for my special accommodation request.,Signature
How can I sign up for a faculty-only professional development day?,Enrollment
I have a question that does not fall under any of the listed categories.,Other
How can I join a coding or technology club?,Other
Apa yang berlaku jika saya selesai peperiksaan lebih awal?,Examination
How do I apply for a sports scholarship?,Scholarship
Bolehkah saya mendapatkan transkrip untuk kursus yang saya ambil semasa sesi musim panas?,Transcript
Bolehkah saya mendapatkan transkrip secara peribadi dari pejabat pendaftar?,Transcript
How do I get a scholarship if my family’s income is below a certain threshold?,Scholarship
Bagaimana saya melaporkan kebimbangan mengenai pensyarah?,Other
Bagaimana saya memohon biasiswa jika saya pelajar pemindahan?,Scholarship
Bolehkah saya mendapatkan transkrip dengan cara dipercepatkan?,Transcript
Bagaimana saya boleh bersedia untuk peperiksaan buku terbuka?,Examination
Apakah peraturan mengenai menghadiri peperiksaan yang berbeza pada hari yang sama?,Examination
Bolehkah saya keluar lebih awal dari peperiksaan?,Examination
Can I enroll in courses that are outside my major?,Enrollment
Bolehkah saya ambil transkrip saya secara peribadi di pejabat pendaftar?,Transcript
Bolehkah saya menggunakan kertas peperiksaan saya sendiri jika saya kehabisan ruang?,Examination
How do I get my transcript sent to a licensing board?,Transcript
Can I get a parking permit as a student?,Other
How do I enroll in a summer program?,Enrollment
Bolehkah anda tandatangan surat permohonan ini?,Signature
How do I register for faculty leadership training?,Enrollment
Di manakah saya boleh mendapatkan senarai aktiviti kampus?,Other
Is there a registration process for faculty advisors?,Enrollment
Bolehkah saya menggunakan telefon bimbit semasa peperiksaan?,Examination
Bolehkah saya mendapatkan bantuan untuk menulis resume profesional?,Other
Where can I apply for faculty development grants?,Enrollment
Bagaimana cara saya mendapatkan transkrip untuk dihantar ke badan pentauliahan?,Transcript
Bagaimana saya boleh mengakses sumber kesihatan mental?,Other
How do I access the career counseling services?,Other
Bolehkah anda tandatangan borang pendaftaran kelab pelajar saya?,Signature
I require your signature for the official submission.,Signature
Can I get a transcript with my academic honors noted?,Transcript
What scholarships are available for students with financial need?,Scholarship
Adakah peperiksaan ini berbuka buku?,Examination
How do I cancel my exam registration?,Examination
Can I receive my transcript by certified mail?,Transcript
Could you authorize this document for me?,Signature
Is there an online platform for enrolling in faculty-led courses?,Enrollment
Apakah dokumen yang diperlukan untuk pendaftaran?,Enrollment
Bolehkah anda hantar transkrip saya ke majikan saya?,Transcript
Can I apply for a scholarship if I have a part-time job?,Scholarship
How do I get a transcript to submit to the state licensing board?,Transcript
What is the procedure for enrolling in faculty-led teaching strategies courses?,Enrollment
Apa yang perlu saya lakukan jika bilik peperiksaan terlalu sejuk atau panas?,Examination
Tolong tandatangan borang permohonan cuti sakit ini.,Signature
Bolehkah anda tandatangan permohonan bantuan kewangan saya?,Signature
Apakah dokumen yang diperlukan untuk memohon biasiswa?,Scholarship
Are there any restrictions on the size of the items I can bring to the exam?,Examination
Can you sign my department scholarship application?,Signature
Bolehkah saya mendapatkan transkrip dihantar ke tempat kerja baru saya?,Transcript
How do I register for an online faculty development course?,Enrollment
Are backpacks allowed in the exam room?,Examination
Can you email me a copy of my transcript while I wait for the official one?,Transcript
Bolehkah saya dapatkan tandatangan anda untuk permohonan biasiswa saya?,Signature
Are there any leadership training programs on campus?,Other
Can I get a transcript with my final grades for a particular semester?,Transcript
Where can I learn more about student leadership programs?,Other
Bagaimanakah proses penilaian untuk biasiswa?,Scholarship
How do I sign up for faculty training on new technology tools?,Enrollment
Would you kindly sign my graduate student petition?,Signature
What is the policy on breaks during long exams?,Examination
Bagaimana saya boleh meminta pertemuan dengan penasihat akademik?,Other
Bagaimana cara saya mendapatkan transkrip jika saya bukan lagi seorang pelajar?,Transcript
Bolehkah saya memohon penginapan khas untuk keperluan kecacatan?,Other
How do I register for the upcoming faculty orientation session?,Enrollment
Bagaimana cara saya memohon transkrip untuk penilaian transkrip antarabangsa?,Transcript
Apakah biasiswa terbaik untuk pelajar antarabangsa?,Scholarship
Would you sign my application for re-admission?,Signature
Saya perlukan salinan transkrip saya.,Transcript
Could you provide me with a copy of my most recent transcript?,Transcript
Bolehkah anda tandatangan borang pemindahan kredit saya?,Signature
Where can I find information about enrolling in a faculty research seminar?,Enrollment
Bagaimana saya menghantar peperiksaan dalam talian?,Examination
How do I get enrolled in a faculty exchange program?,Enrollment
Can I get your signature for my permission to attend an external conference?,Signature
Apakah biasiswa yang tersedia untuk pelajar yang mengejar ijazah dalam bidang undang-undang?,Scholarship
My grade report isn’t showing,Transcript
Can I apply for a scholarship if I have a disability?,Scholarship
What’s the procedure for adding a course after the semester begins?,Other
Can I request a transcript if I am waiting for my degree to be conferred?,Transcript
Are there any scholarships for part-time students?,Scholarship
Could you send my transcript to an organization for credentialing purposes?,Transcript
Apakah prosedur untuk memohon lanjutan transkrip?,Other
Adakah terdapat biasiswa untuk pelajar pascasiswazah yang mengejar ijazah penyelidikan?,Scholarship
Can I request my transcript online if I owe fees?,Transcript
What are the steps to sign up for faculty research support programs?,Enrollment
Bagaimana cara saya mendapatkan transkrip jika saya belajar di luar negara?,Transcript
Apa yang perlu saya lakukan jika saya menghadapi masalah teknikal semasa peperiksaan dalam talian?,Examination
Bolehkah anda tandatangan borang pendaftaran insurans kesihatan saya?,Signature
Can I get my transcript for my internship report submission?,Transcript
Bolehkah saya bercakap dengan pelajar lain semasa peperiksaan?,Examination
Can international students apply for local scholarships?,Scholarship
Can I apply for a research grant?,Other
Can you send me a transcript to my home address?,Transcript
Bolehkah saya memohon biasiswa jika saya belajar secara sambilan?,Scholarship
Can I get a transcript for the courses I’ve taken during the summer session?,Transcript
Adakah makanan dan minuman dibenarkan dalam bilik peperiksaan?,Examination
How can I apply for financial aid?,Scholarship
Where can I find the exam schedule?,Examination
Bolehkah anda tandatangan borang permohonan pas pengajian?,Signature
What should I do if I miss the registration deadline for an exam?,Examination
Adakah ada pengawasan semasa peperiksaan?,Examination
Is there a deadline for scholarship applications?,Scholarship
Tolong tandatangan borang permohonan pertukaran pelajar antarabangsa saya.,Signature
Apakah prosedur untuk menukar jurusan?,Other
Apakah langkah-langkah untuk pendaftaran pelajar baru?,Enrollment
Can I get a university tour?,Other
Bolehkah anda tandatangan permohonan untuk pengajian sambilan?,Signature
Bagaimana saya boleh mengesahkan pendaftaran saya?,Enrollment
How can I join a student research group?,Other
Can I request my transcript for a visa renewal?,Transcript
Tolong tandatangan borang permohonan pekerjaan pelajar saya.,Signature
Tolong tandatangan borang pengesahan ini.,Signature
How do I make a transcript request for a graduate program?,Transcript
How do I get a scholarship if my family’s income is below a certain threshold?,Scholarship
Could you kindly sign my approval form?,Signature
Apa yang perlu saya lakukan jika saya berasa tidak sihat semasa peperiksaan?,Examination
Bolehkah anda tandatangan borang ini untuk saya?,Signature
How do I sign up for faculty training on student engagement?,Enrollment
Can I get assistance with creating a professional resume?,Other
Please sign my request for independent study approval.,Signature
Can I enroll in a faculty-only course offered this semester?,Enrollment
Is there a specific platform for faculty enrollment in academic workshops?,Enrollment
How do I change the delivery method for my transcript?,Transcript
How do I apply for on-campus jobs?,Other
How do I apply to register for a faculty teaching certification program?,Enrollment
How do I request a transcript for my foreign transcript evaluation?,Transcript
Apa yang perlu saya lakukan jika bilik peperiksaan terlalu sejuk atau panas?,Examination
Apakah dokumen yang diperlukan untuk pendaftaran?,Enrollment
Where do I find the registration forms for faculty training?,Enrollment
Can I apply for a scholarship if I’m studying part-time?,Scholarship
Bolehkah saya mendapatkan transkrip secara peribadi dari pejabat pendaftar?,Transcript
Can I register for courses without a student ID?,Enrollment
Bagaimana cara untuk mendapatkan diskaun perkhidmatan makan kampus?,Other
What steps do I need to follow to finalize my course enrollment?,Enrollment
Sila tandatangan dokumen ini untuk melengkapkan permohonan.,Signature
Bagaimana cara memohon biasiswa?,Scholarship
Bolehkah anda tandatangan surat pengesahan sijil saya?,Signature
Bolehkah anda tandatangan permohonan dana penyelidikan saya?,Signature
Adakah terdapat biasiswa untuk pelajar dengan kehormatan di sekolah menengah?,Scholarship
Adakah saya perlu membawa kad pengenalan untuk peperiksaan?,Examination
Saya perlukan maklumat mengenai peluang sukarelawan.,Other
What are the criteria for enrolling in a faculty fellowship program?,Enrollment
How do I request enrollment in an advanced teaching seminar?,Enrollment
How do I get a transcript if I am no longer a student?,Transcript
Apa yang perlu saya lakukan jika saya terlupa masa bermulanya peperiksaan?,Examination
Apa yang perlu saya lakukan jika saya mempunyai masalah kesihatan yang mempengaruhi prestasi peperiksaan saya?,Examination
Could you send my transcript to an organization for credentialing purposes?,Transcript
Can I enroll in a cross-departmental course?,Enrollment
How do I know if my exam has been scheduled?,Examination
Can I have my transcript sent to me as a scanned copy?,Transcript
Are there scholarships for students studying architecture?,Scholarship
What is the process for enrolling in a professional development program?,Enrollment
Bolehkah saya mendapatkan transkrip sebelum keputusan akhir saya dipaparkan?,Transcript
How do I report an error in my exam results?,Examination
How do I submit a request to enroll in faculty-led study abroad programs?,Enrollment
What happens if I forget to sign the attendance sheet for the exam?,Examination
Bolehkah anda berikan saya transkrip tidak rasmi?,Transcript
Can I register for a teaching assistance role this semester?,Enrollment
How do I request enrollment in an advanced teaching seminar?,Enrollment
Can I bring my calculator to the exam?,Examination
Can you email me an unofficial copy of my transcript?,Transcript
Can I apply for a scholarship if I’ve already graduated from university?,Scholarship
How do I check if I’m eligible for any scholarships?,Scholarship
Can I take my personal belongings into the exam room?,Examination
Can you provide me with my official transcript for a career change?,Transcript
How do I apply for a transcript request online?,Transcript
How can I apply for enrollment in a faculty sabbatical program?,Enrollment
Could you sign my scholarship acceptance letter?,Signature
Can I apply for a scholarship if I’m taking a gap year before university?,Scholarship
How do I register for the faculty mentorship program?,Enrollment
Apakah langkah-langkah untuk pendaftaran pelajar antarabangsa?,Enrollment
Can I apply for scholarships if I am working full-time?,Scholarship
Apa yang berlaku jika saya terlepas peperiksaan disebabkan oleh kecemasan?,Examination
Bolehkah saya memohon waktu peperiksaan yang berbeza jika terdapat konflik jadual?,Examination
Can I enroll in a faculty seminar on academic writing?,Enrollment
Are there any student discounts available?,Other
Bagaimana saya memohon biasiswa kepelbagaian?,Scholarship
Can I apply for a scholarship if I have a part-time job?,Scholarship
Can you email me an unofficial copy of my transcript?,Transcript
What is the procedure for submitting my online exam?,Examination
Bolehkah saya menggunakan kalkulator dengan fungsi memori?,Examination
What are the requirements for sitting an online exam?,Examination
Adakah terdapat garis panduan untuk peperiksaan lisan?,Examination
Can I get my transcript for my internship report submission?,Transcript
How do I prepare for an open-book exam?,Examination
How do I register for faculty collaborative workshops?,Enrollment
How long do I have to finish the exam?,Examination
What is the registration process for new students?,Enrollment
How do I get enrolled in a faculty-led educational research group?,Enrollment
Bolehkah saya memohon masa tambahan untuk peperiksaan disebabkan oleh keadaan peribadi?,Examination
How can I get an official transcript from the university?,Transcript
Bolehkah saya mendapatkan transkrip untuk permohonan pengajian pascasiswazah?,Transcript
Bagaimana saya boleh mendapatkan salinan transkrip saya?,Transcript
Berapa kos untuk memohon transkrip?,Transcript
How do I check if my registration was successful?,Enrollment
Bolehkah saya mendapatkan surat sokongan untuk program musim panas?,Other
What are the resources available for international students?,Other
Are there scholarships for students with disabilities?,Scholarship
Bolehkah anda bantu saya dengan masalah teknikal ini?,Other
Saya perlukan salinan transkrip saya,Transcript
Can you help me with course registration for next semester?,Enrollment
Do I need to be a full-time student to apply for a scholarship?,Scholarship
What scholarships are available for students in their final year?,Scholarship
Could you explain the process for securing a scholarship?,Scholarship
Can I get my transcript before my final grades are posted?,Transcript
Can I leave the exam room during a break?,Examination
What are the rules for taking a midterm exam?,Examination
Can I sign up for faculty training on online teaching?,Enrollment
Can I get my transcript sent directly to another university?,Transcript
Adakah dibenarkan membawa bahan bercetak ke dalam bilik peperiksaan?,Examination
What scholarships are available for students pursuing a career in technology?,Scholarship
Is there a food bank available on campus?,Other
Apakah GPA minimum yang diperlukan untuk mendapatkan biasiswa?,Scholarship
Bolehkah saya meninggalkan bilik peperiksaan jika saya selesai awal?,Examination
Is there a deadline for enrolling in faculty mentoring programs?,Enrollment
How can I apply for a university internship?,Other
Could you sign this waiver for me?,Signature
Can I register for faculty orientation if I missed the deadline?,Enrollment
Can I apply for a scholarship if I’m from a disadvantaged background?,Scholarship
What are the steps to sign up for faculty research support programs?,Enrollment
Bolehkah saya mendapatkan transkrip untuk peperiksaan akhir saya?,Transcript
Could you sign my student club registration form?,Signature
Bolehkah anda jelaskan cara menggunakan sumber perpustakaan?,Other
Can I apply for a scholarship for studying abroad?,Scholarship
Can I take my personal belongings into the exam room?,Examination
Bagaimana saya boleh memohon latihan industri universiti?,Other
Is there a space for student art exhibitions on campus?,Other
How do I register for faculty research conferences?,Enrollment
How do I enroll in interdisciplinary teaching programs?,Enrollment
Can I enroll in a course as a faculty member?,Enrollment
Can I apply for a study grant?,Other
Is there an enrollment guide for first-year students?,Enrollment
Can I get a transcript for my application to a different major?,Transcript
I have a general inquiry that doesn't fit into any category.,Other
Bolehkah anda tandatangan borang pengecualian pembayaran saya?,Signature
Are there any scholarships for graduate students?,Scholarship
How can I get in touch with the career services department?,Other
Can you explain the process for applying for academic accommodations?,Other
Adakah terdapat biasiswa untuk pelajar yang melibatkan diri dalam aktiviti sukarela?,Scholarship
What resources are available for students with disabilities?,Other
How do I get a transcript if I studied abroad?,Transcript
Apakah prosedur untuk memohon masa tambahan semasa peperiksaan?,Examination
Is there a food bank available on campus?,Other
Is there a registration process for faculty advisors?,Enrollment
Can you explain the process for applying to graduate programs?,Other
How do I apply for enrollment in the new faculty orientation program?,Enrollment
Can I request an electronic copy of my transcript?,Transcript
Can I meet with a professor to discuss my academic interests?,Other
What is the process for enrolling in a professional development program?,Enrollment
Bagaimana saya memohon biasiswa jika saya pelajar antarabangsa?,Scholarship
Di manakah saya boleh mendapatkan maklumat mengenai aksesibiliti kampus?,Other
Can you send me a transcript for my application for residency?,Transcript
Could you please sign my loan deferment form?,Signature
Can you send me my transcript if I am not in the country?,Transcript
Apakah proses permohonan untuk biasiswa yang boleh diperbaharui?,Scholarship
Adakah terdapat biasiswa untuk pelajar yang melanjutkan pelajaran ke peringkat sarjana?,Scholarship
What are the steps to sign up for faculty research support programs?,Enrollment
Are there any scholarships for students with leadership experience?,Scholarship
Apakah dokumen yang diperlukan untuk pendaftaran?,Enrollment
Apa yang perlu saya bawa ke bilik peperiksaan?,Examination
How can I enroll in a faculty-student collaborative research project?,Enrollment
Saya perlukan transkrip saya untuk permohonan program fellowship.,Transcript
Di mana peperiksaan akan diadakan?,Examination
What should I do if I forget the exam start time?,Examination
Sudi tak tandatangan borang kebenaran ini?,Signature
How can I obtain a transcript if I have graduated several years ago?,Transcript
Berapa lama masa yang diberikan untuk peperiksaan?,Examination
Bagaimanakah proses penilaian untuk biasiswa?,Scholarship
Adakah biasiswa untuk pelajar yang memerlukan bantuan kewangan?,Scholarship
Adakah terdapat cara untuk menghubungi persatuan alumni?,Other
